ticker,px,tier,nsig,setupR,randR,edge,t
VCEL,45.09,thin,1,,,,
INOD,62.33,thin,0,,,,
NMM,79.35,thin,3,,,,
SRCE,88.01,thin,0,,,,
PDFS,49.45,thin,5,,,,
NEO,16.57,thin,2,,,,
GHRS,30.27,thin,0,,,,
EVTC,29.85,thin,0,,,,
LMAT,81.45,thin,0,,,,
DCOM,40.32,thin,0,,,,
ASTH,35.76,thin,0,,,,
BDJ,9.76,thin,0,,,,
IIPR,59.16,thin,0,,,,
EMAT,,skip,0,,,,
AZUL,,skip,0,,,,
SLVM,41.07,thin,0,,,,
MLTX,18.26,thin,2,,,,
TMP,98.73,thin,0,,,,
AMRC,25.65,thin,2,,,,
HYT,8.41,thin,0,,,,
SLSR,8.02,thin,0,,,,
IAUX,1.62,thin,8,,,,
CDNL,,skip,0,,,,
INBX,88.66,thin,0,,,,
NBXG,15.26,thin,0,,,,
SGML,11.38,thin,2,,,,
STAA,24.21,thin,0,,,,
RHLD,129.45,thin,1,,,,
MSEX,58.22,thin,1,,,,
PLOW,44.36,thin,0,,,,
BKSY,29.16,thin,0,,,,
RPC,8.99,thin,1,,,,
APEI,51.24,thin,0,,,,
REF,,skip,0,,,,
SYNSY,,skip,0,,,,
NRK,10.46,thin,12,,,,
HTB,50.80,thin,0,,,,
SLDB,8.39,thin,6,,,,
CRTO,18.38,thin,0,,,,
CAPL,21.41,thin,0,,,,
MFIC,9.76,thin,0,,,,
LPTH,13.06,thin,0,,,,
RVI,,skip,0,,,,
PEO,26.35,thin,4,,,,
PHR,12.51,thin,0,,,,
RBTK,6.25,thin,2,,,,
RGNX,10.72,thin,3,,,,
BOT,,skip,0,,,,
DMII,,skip,0,,,,
ANGO,15.69,thin,0,,,,
KRNY,9.52,thin,0,,,,
BCSS,,skip,0,,,,
XMAX,9.09,thin,1,,,,
HBCP,71.88,thin,0,,,,
XRN,36.07,thin,2,,,,
ESEA,75.29,thin,1,,,,
DPG,14.57,thin,0,,,,
GCGR,,skip,0,,,,
GAU,2.06,thin,0,,,,
BLND,1.63,thin,0,,,,
GIW,,skip,0,,,,
SLDP,2.33,thin,4,,,,
LXFR,17.10,thin,1,,,,
STRZ,26.22,thin,1,,,,
NNNN,10.61,thin,0,,,,
GLAD,19.73,thin,0,,,,
KFII,10.61,thin,0,,,,
EH,5.74,thin,0,,,,
VKI,9.02,thin,0,,,,
NOA,14.58,thin,0,,,,
VELO,14.16,thin,10,,,,
MYN,9.85,thin,3,,,,
ATNI,31.97,thin,12,,,,
PLAY,10.27,thin,4,,,,
HCIC,,skip,0,,,,
MASS,8.88,thin,0,,,,
ATAC,,skip,0,,,,
VOXR,5.04,thin,0,,,,
BRBS,3.70,thin,1,,,,
CAF,19.46,thin,0,,,,
ATII,10.69,thin,0,,,,
PSBD,10.45,thin,1,,,,
RELL,20.66,thin,0,,,,
EFTY,15.02,thin,0,,,,
TKNO,6.46,thin,7,,,,
INV,3.43,thin,2,,,,
BPRN,42.12,thin,1,,,,
MVST,0.91,thin,0,,,,
AVNW,21.12,thin,0,,,,
TDRRF,0.69,thin,1,,,,
RLTY,15.84,thin,0,,,,
NTWO,10.72,thin,0,,,,
SUJA,,skip,0,,,,
RCS,5.29,thin,7,,,,
INR,12.98,thin,1,,,,
SMRT,1.42,thin,5,,,,
GDEV,13.48,thin,3,,,,
MITT,7.09,thin,0,,,,
FUFU,1.30,thin,3,,,,
GENC,14.47,thin,0,,,,
RCMT,29.38,thin,0,,,,
EAF,8.13,thin,10,,,,
SMDRF,1.07,thin,0,,,,
LFAC,,skip,0,,,,
VYGR,3.27,thin,0,,,,
VLN,1.74,thin,1,,,,
EHI,5.86,thin,0,,,,
APYX,4.05,thin,0,,,,
SITC,3.15,thin,0,,,,
EVTL,1.36,thin,8,,,,
HOFT,15.43,thin,4,,,,
WPAC,,skip,0,,,,
CBUS,1.81,thin,1,,,,
YCY,,skip,0,,,,
USBC,0.34,thin,12,,,,
SPE,13.51,thin,0,,,,
UAC,,skip,0,,,,
CIGL,,skip,0,,,,
KULR,2.92,thin,1,,,,
IPEX,10.56,thin,0,,,,
BRCC,1.00,thin,5,,,,
CLPR,2.86,thin,0,,,,
THRY,2.44,thin,1,,,,
LMED,,skip,0,,,,
HERE,1.89,thin,1,,,,
PBHC,16.50,thin,0,,,,
PTHS,28.36,thin,1,,,,
MYPS,0.70,thin,2,,,,
ORRCF,0.30,thin,0,,,,
INVZ,0.39,thin,1,,,,
FMN,11.19,thin,0,,,,
MAIA,1.42,thin,4,,,,
ZTEK,0.67,thin,1,,,,
NAMM,1.35,thin,0,,,,
HANNF,0.56,thin,0,,,,
EUBG,0.45,thin,9,,,,
CTM,0.62,thin,1,,,,
PROP,0.80,thin,0,,,,
NNOX,1.06,thin,1,,,,
SPCB,11.40,thin,1,,,,
TUNGF,1.13,thin,0,,,,
FSI,5.03,thin,2,,,,
DCGO,0.63,thin,0,,,,
UEIC,4.76,thin,6,,,,
SELF,5.15,thin,0,,,,
FSHP,11.19,thin,0,,,,
AUXXF,0.46,thin,0,,,,
SDEV,1.03,thin,1,,,,
HAIN,0.60,thin,2,,,,
XHG,0.97,thin,0,,,,
LGL,7.10,thin,0,,,,
ZEO,0.58,thin,7,,,,
VASO,0.26,thin,0,,,,
QDMI,5.00,small,45,-0.532,-0.080,-0.453,-1.54
GLXZ,1.62,thin,0,,,,
JETMF,0.63,thin,0,,,,
AXIL,5.87,thin,0,,,,
XCH,0.28,thin,0,,,,
EQTRF,0.12,thin,1,,,,
BRIA,1.38,thin,6,,,,
SER,2.40,thin,1,,,,
DAIO,2.98,thin,0,,,,
PRKA,39.11,thin,0,,,,
GUER,3.70,thin,0,,,,
ATCH,0.18,thin,5,,,,
RSGLF,0.08,thin,3,,,,
ABVC,1.02,thin,7,,,,
CLIR,3.75,thin,0,,,,
CAHO,0.39,micro,28,-5.512,-2.958,-2.554,-2.63
EHLD,8.35,thin,0,,,,
GWH,0.64,thin,0,,,,
PDC,2.96,thin,0,,,,
JDZG,3.22,thin,7,,,,
EPSM,1.50,thin,0,,,,
PLUR,1.82,thin,0,,,,
RAY,2.93,thin,9,,,,
ADGM,0.68,thin,4,,,,
BKUCF,0.04,thin,0,,,,
SMSI,2.90,thin,5,,,,
SAGT,0.75,thin,0,,,,
NTZ,1.32,thin,3,,,,
NRIS,0.13,micro,23,1.650,-2.211,3.861,5.08
MIMI,2.04,thin,1,,,,
AUID,0.63,thin,1,,,,
MTEK,1.17,thin,1,,,,
SNTI,0.35,thin,9,,,,
GMVMF,0.10,thin,0,,,,
CYDX,2.08,thin,15,,,,
WXM,4.14,thin,0,,,,
GPMTF,0.06,thin,0,,,,
ELECF,0.08,thin,0,,,,
FGI,4.57,thin,0,,,,
IFBD,1.08,thin,4,,,,
CUPR,3.32,thin,1,,,,
ARBB,4.10,thin,5,,,,
HCAI,4.42,thin,2,,,,
ITOC,0.29,thin,2,,,,
ALZN,1.37,thin,1,,,,
DEVSF,0.18,thin,2,,,,
PIAC,0.05,micro,22,-0.333,-2.007,1.674,3.05
STME,0.35,thin,15,,,,
GLGI,0.23,thin,0,,,,
AIDX,,skip,0,,,,
DXYN,0.44,thin,2,,,,
VEST,,skip,0,,,,
ERNA,4.21,thin,7,,,,
REVB,1.14,thin,1,,,,
PMHS,0.15,thin,7,,,,
IWSH,0.24,micro,31,-4.856,-1.155,-3.701,-12.60
MSGY,0.27,thin,0,,,,
PRFX,1.04,thin,9,,,,
OCG,1.66,thin,0,,,,
VSEE,0.03,thin,2,,,,
PKTX,0.00,thin,0,,,,
RAYA,2.43,thin,0,,,,
CDT,3.42,thin,6,,,,
CRCE,1.33,thin,11,,,,
IPTNF,0.26,thin,14,,,,
MDLK,0.00,thin,1,,,,
RUBI,2.25,thin,0,,,,
VIVS,0.47,thin,2,,,,
BNRG,0.38,thin,3,,,,
SVUHF,0.00,thin,2,,,,
CBMJ,0.01,thin,2,,,,
HGAS,0.08,thin,16,,,,
PFSA,0.96,thin,0,,,,
HAO,0.16,thin,3,,,,
CBDW,0.00,thin,2,,,,
CMLS,,skip,0,,,,
SOPAQ,0.00,thin,0,,,,
PGIM,,skip,0,,,,
CUPPF,0.36,thin,0,,,,
PLTM,16.76,thin,0,,,,
AMH,34.63,thin,1,,,,
DCFBS,,skip,0,,,,
NIO,4.74,thin,3,,,,
MOGMF,0.47,thin,0,,,,
LSBA,,skip,0,,,,
ARTC,,skip,0,,,,
FRLCY,,skip,0,,,,
NCIQ,16.14,thin,0,,,,
KPL,,skip,0,,,,
CLYD,,skip,0,,,,
TELYF,,skip,0,,,,
AFNDY,,skip,0,,,,
HGZDY,,skip,0,,,,
MPJPY,,skip,0,,,,
RGKUY,,skip,0,,,,
ODKUY,,skip,0,,,,
DCO,197.07,thin,0,,,,
ASIC,24.78,thin,0,,,,
PSBTY,,skip,0,,,,
TKDG,,skip,0,,,,
WQEY,,skip,0,,,,
EFT,10.84,thin,4,,,,
PNI,6.93,thin,6,,,,
SNX,252.42,thin,0,,,,
VHC,15.08,thin,2,,,,
BVN,34.15,thin,0,,,,
BTG,5.03,thin,0,,,,
BR,166.50,thin,1,,,,
CPPBY,,skip,0,,,,
NBB,15.40,thin,0,,,,
CRL,267.49,thin,2,,,,
AFL,124.61,thin,0,,,,
ADM,76.59,thin,0,,,,
KSS,19.30,thin,0,,,,
GPJA,20.69,thin,1,,,,
NRUC,22.12,thin,0,,,,
CDW,135.81,thin,13,,,,
NAK,1.71,thin,0,,,,
SIF,28.09,thin,1,,,,
MXC,9.31,thin,1,,,,
ESP,62.54,thin,0,,,,
WMK,75.25,thin,0,,,,
LGI,18.45,thin,0,,,,
EDN,24.30,thin,2,,,,
PSUS,,skip,0,,,,
ACMIF,1.56,thin,0,,,,
JXIRY,,skip,0,,,,
BCDRF,15.28,thin,0,,,,
AIQUF,197.45,thin,0,,,,
WEBNF,26.55,thin,0,,,,
TKOMF,51.39,thin,0,,,,
ORXCF,40.30,thin,0,,,,
FOX,57.03,thin,0,,,,
MAA,134.96,thin,0,,,,
SHECF,37.25,thin,0,,,,
NDEKF,17.72,thin,0,,,,
UEPEN,61.99,thin,5,,,,
SFGRF,,skip,0,,,,
SLMBP,75.00,thin,0,,,,
AILLM,79.25,thin,16,,,,
AILLP,62.90,thin,5,,,,
MHLA,10.63,thin,4,,,,
DGICB,24.01,thin,0,,,,
VSOGF,75.00,thin,0,,,,
HEXEY,15.75,thin,0,,,,
CHPGF,2.46,thin,5,,,,
KBSR,0.12,micro,29,0.218,-0.357,0.575,1.35
USREF,6.32,thin,0,,,,
HSTI,1.40,thin,14,,,,
PRNAF,0.35,thin,14,,,,
BLMH,0.22,thin,0,,,,
BASA,0.02,thin,0,,,,
VCNX,0.99,thin,0,,,,
SPQS,0.00,thin,1,,,,
MAJI,0.01,thin,10,,,,
GWSO,0.63,thin,10,,,,
ALCE,0.10,thin,16,,,,
FINCF,,skip,0,,,,
KKRS,15.96,thin,2,,,,
NEWTP,24.95,thin,0,,,,
GAINI,25.40,thin,0,,,,
IPSOF,39.66,mid,53,-0.756,-0.670,-0.087,-0.36
EDRVF,16.12,small,41,-1.329,-0.033,-1.296,-5.88
BAFBF,11.00,thin,0,,,,
WAFDP,16.40,thin,1,,,,
IWFL,60.89,thin,0,,,,
CIMN,24.99,thin,0,,,,
MITP,25.12,thin,0,,,,
OXSQG,23.98,thin,0,,,,
FMCCT,15.25,thin,0,,,,
BULZ,36.64,thin,1,,,,
BRPSF,12.98,thin,0,,,,
TMUSI,21.18,thin,0,,,,
SQFTP,6.06,thin,0,,,,
RHEPZ,2.41,thin,0,,,,
HBANM,20.89,thin,1,,,,
SRGBF,15.00,thin,0,,,,
BCEFF,15.40,thin,19,,,,
REGCP,23.01,thin,0,,,,
RYLBF,19.50,thin,0,,,,
ASBA,24.70,thin,0,,,,
HOVNP,19.75,thin,3,,,,
RLNDF,,skip,0,,,,
ECXWW,,skip,0,,,,
BTSGU,206.66,thin,0,,,,
ALCWF,,skip,0,,,,
ARQQW,,skip,0,,,,
OYSEU,10.66,thin,0,,,,
IMSRW,,skip,0,,,,
COLAU,11.05,thin,0,,,,
CHECW,,skip,0,,,,
GTENW,,skip,0,,,,
APACU,,skip,0,,,,
SSACW,,skip,0,,,,
NGHLF,1.19,thin,0,,,,
MBVIU,,skip,0,,,,
IRHOU,,skip,0,,,,
SVAQW,,skip,0,,,,
CRANU,,skip,0,,,,
YICCW,,skip,0,,,,
ZJNGF,,skip,0,,,,
CCCTW,,skip,0,,,,
BGTCF,,skip,0,,,,
ADACU,,skip,0,,,,
NNWWF,35.37,thin,6,,,,
CPWPF,17.67,thin,0,,,,
DGMDF,0.04,thin,0,,,,
MGSD,,skip,0,,,,
QUMSR,,skip,0,,,,
TCLHF,2.08,thin,0,,,,
DSACW,,skip,0,,,,
PECEW,,skip,0,,,,
PONOU,,skip,0,,,,
RREVW,,skip,0,,,,
LSHGF,,skip,0,,,,
SHOTU,,skip,0,,,,
NUCLW,,skip,0,,,,
XSLLW,,skip,0,,,,
SKYAW,,skip,0,,,,
MONRF,58.90,thin,6,,,,
XRXDW,,skip,0,,,,
JBHIF,59.64,thin,3,,,,
AERTW,,skip,0,,,,
SCAFF,,skip,0,,,,
BUHPF,5.45,thin,0,,,,
MTEKW,,skip,0,,,,
COBA,2.65,thin,2,,,,
RENXF,0.04,micro,32,0.344,-0.291,0.635,1.60
EUDAW,,skip,0,,,,
RDPTF,0.01,thin,0,,,,
SNNRF,,skip,0,,,,
PGACU,10.78,thin,0,,,,
HNSDF,84.11,thin,3,,,,
SRZNW,,skip,0,,,,
PLSAY,,skip,0,,,,
CDAUF,10.18,thin,0,,,,
PBATF,0.17,thin,0,,,,
MVO,,skip,0,,,,
PRH,22.02,thin,0,,,,
GGROW,,skip,0,,,,
BWAGF,198.00,thin,0,,,,
LNZAW,,skip,0,,,,
EURBF,5.17,thin,0,,,,
BLZRW,,skip,0,,,,
KTWOU,,skip,0,,,,
SSEAR,,skip,0,,,,
